pair,pair_alias,domain,fidelity,cohort,baseline_k,joint_k,delta_k,baseline_coupling_ratio,joint_coupling_ratio,equal_k_coupling_repair,baseline_status,joint_status,baseline_source,joint_source
1o7j.a__4eca.b,P6,protein,continuous,coverage_extension single observation,18.0,18.0,0.0,1.194548872955356,1.0,True,validated,validated,output\paper_v1\coverage_extension\slots\01\attempts\coverage01_d94227c44bea4b4dbb3c4cbc789da96b,output\paper_v1\coverage_extension\slots\03\attempts\coverage03_7089725cc44342a1bffd2ef8ac5f17a3
1o7j.a__4eca.b,P6,protein,discrete,coverage_extension single observation,21.0,21.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\02\attempts\coverage02_4da3238292e54b4999fe790bf1e2586a,output\paper_v1\coverage_extension\slots\04\attempts\coverage04_b29e35efdd404a5b9a18e13afa304f94
1o7j.a__4eca.c,P7,protein,continuous,coverage_extension single observation,18.0,18.0,0.0,1.1827096492562643,1.0,True,validated,validated,output\paper_v1\coverage_extension\slots\05\attempts\coverage05_e9c41696ba26406aaebbe392d840bf8b,output\paper_v1\coverage_extension\slots\07\attempts\coverage07_0f8bde73980c4f1788a9ad0fca35b21e
1o7j.a__4eca.c,P7,protein,discrete,coverage_extension single observation,21.0,21.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\06\attempts\coverage06_b0d1afea28de4991a07496944c419dce,output\paper_v1\coverage_extension\slots\08\attempts\coverage08_0414cf2ed27848009d87d0c4750feb50
1o7j.a__3ntx.a,P8,protein,continuous,coverage_extension single observation,,,,,,False,preparation_blocked,preparation_blocked,,
1o7j.a__3ntx.a,P8,protein,discrete,coverage_extension single observation,,,,,,False,preparation_blocked,preparation_blocked,,
1o7j.a__1wls.a,P9,protein,continuous,coverage_extension single observation,17.0,18.0,1.0,1.1786027511158603,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\13\attempts\coverage13_41fcd0da9a4a4280922d252b03f840e9,output\paper_v1\coverage_extension\slots\15\attempts\coverage15_6d6dba71c8234043ad070d96c7f676bc
1o7j.a__1wls.a,P9,protein,discrete,coverage_extension single observation,21.0,21.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\14\attempts\coverage14_aa74ac1027974521b27b4c9499a16871,output\paper_v1\coverage_extension\slots\16\attempts\coverage16_bf733beeb810407eb88685f8227c4df5
1o7j.a__2eq5.a,P10,protein,continuous,coverage_extension single observation,16.0,16.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\17\attempts\coverage17_2b267a35c7a64366acef9698b042dc8e,output\paper_v1\coverage_extension\slots\19\attempts\coverage19_2a8ba5eb34294f84ab6d2c2c6d7fce1b
1o7j.a__2eq5.a,P10,protein,discrete,coverage_extension single observation,20.0,20.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\18\attempts\coverage18_03de6fceb50e42609b8733fb13512a76,output\paper_v1\coverage_extension\slots\20\attempts\coverage20_892755f8079b42358bd7ac263683db50
1o7j.a__2zsk.a,P11,protein,continuous,coverage_extension single observation,16.0,16.0,0.0,1.0527370488070202,0.9344483000661834,True,validated,validated,output\paper_v1\coverage_extension\slots\21\attempts\coverage21_d77ce56d9d464dd9b904b06961091e99,output\paper_v1\coverage_extension\slots\23\attempts\coverage23_53501d6800ad40f29d6023390210ffa3
1o7j.a__2zsk.a,P11,protein,discrete,coverage_extension single observation,20.0,20.0,0.0,0.9344483000661834,0.9344483000661834,False,validated,validated,output\paper_v1\coverage_extension\slots\22\attempts\coverage22_25844e86d83b4e1586207da24869d039,output\paper_v1\coverage_extension\slots\24\attempts\coverage24_d75f107610ba40c2b62cf918565a8972
1o7j.a__1zq1.a,P12,protein,continuous,coverage_extension single observation,22.0,22.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\25\attempts\coverage25_1a1925f405bb4047a6a2670861c40e3b,output\paper_v1\coverage_extension\slots\27\attempts\coverage27_cbb21cb995de4210aef66e964765c41a
1o7j.a__1zq1.a,P12,protein,discrete,coverage_extension single observation,24.0,24.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\26\attempts\coverage26_a307706a595c449f84beeaac5092d625,output\paper_v1\coverage_extension\slots\28\attempts\coverage28_6a4c4e4d17944c9aa27d9c60ad70176d
1o7j.a__3jq0.a,P13,protein,continuous,coverage_extension single observation,,,,,,False,preparation_blocked,preparation_blocked,,
1o7j.a__3jq0.a,P13,protein,discrete,coverage_extension single observation,,,,,,False,preparation_blocked,preparation_blocked,,
1o7j.a__2fep.a,P14,protein,continuous,coverage_extension single observation,16.0,16.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\33\attempts\coverage33_3dd80575abde47569418e2ac247fc874,output\paper_v1\coverage_extension\slots\35\attempts\coverage35_be5a003f7d1b4180b96e8af88864666d
1o7j.a__2fep.a,P14,protein,discrete,coverage_extension single observation,20.0,20.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\34\attempts\coverage34_29798453940b45bfa82792925643d00e,output\paper_v1\coverage_extension\slots\36\attempts\coverage36_d4c553cd3aee4672aa7eef1f70c1d476
AL031854__AL011991,H1,hurricane,continuous,original alpha0.5 single observation,5.0,5.0,0.0,1.7024831862636949,1.0,True,validated,validated,output\paper_v1\unified_pilot_results\slots\01\attempts\slot01_a21dc5c0aa204ab3b617cea12e9c1fdf,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1
AL031854__AL011991,H1,hurricane,discrete,original alpha0.5 single observation,20.0,20.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\unified_pilot_results\slots\02\attempts\slot02_be1a32ff67984f64be5a5df446945b5e,output\paper_v1\unified_pilot_results\slots\04\attempts\slot04_932e5573922349258233e40f17b3a4ad
EP021949__EP031949,H2,hurricane,continuous,original alpha0.5 single observation,5.0,6.0,1.0,1.3984626803959483,0.9892227925259384,False,validated,validated,output\paper_v1\unified_pilot_results\slots\11\attempts\slot11_779efee65c1c4da48452a50487b13fb4,output\paper_v1\unified_pilot_results\slots\09\attempts\slot09_e46deb0bcdd14153a890b48a67dfe8ee
EP021949__EP031949,H2,hurricane,discrete,original alpha0.5 single observation,25.0,25.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\unified_pilot_results\slots\12\attempts\slot12_cbb981900e99447d9afd681e05358355,output\paper_v1\unified_pilot_results\slots\10\attempts\slot10_9c3ce8eb1cc545e1b9833ac08e21c34d
EP111954__EP021984,H3,hurricane,continuous,original alpha0.5 single observation,16.0,16.0,0.0,1.7492086610823305,0.9498091646955408,True,validated,validated,output\paper_v1\expanded_comparison\slots\57\attempts\expanded57_53aba65df4d145e491de2ca70d31b840,output\paper_v1\expanded_comparison\slots\59\attempts\expanded59_1a41930b343049c19e4c4044b1d1680e
EP111954__EP021984,H3,hurricane,discrete,original alpha0.5 single observation,79.0,79.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\expanded_comparison\slots\58\attempts\expanded58_cc8c30ff1d1a48f7a0643c0286c3d20e,output\paper_v1\expanded_comparison\slots\60\attempts\expanded60_d1a5c27accb04d57bcfa4d365d99a606
AL072006__AL011900,H4,hurricane,continuous,original alpha0.5 single observation,12.0,,,0.9973353073920145,,False,validated,transition_budget_limit,output\paper_v1\expanded_comparison\slots\65\attempts\expanded65_41947a210b8b496eaeaac9755feae1a4,output\paper_v1\expanded_comparison\slots\67\attempts\expanded67_d4d4cf7eb7c74142954855b541101365
AL072006__AL011900,H4,hurricane,discrete,original alpha0.5 single observation,75.0,75.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\expanded_comparison\slots\66\attempts\expanded66_095d06dd1f3e431cb389cf35a6c9c8c2,output\paper_v1\expanded_comparison\slots\68\attempts\expanded68_601a57a3ba474fa3960adc238e08ffc1
EP012014__EP212006,H5,hurricane,continuous,original alpha0.5 single observation,7.0,7.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\expanded_comparison\slots\73\attempts\expanded73_b16b8e72a62142e19f2b25e821b87e10,output\paper_v1\expanded_comparison\slots\75\attempts\expanded75_1d406bb8211e4ea9ad5fa732f6052f0d
EP012014__EP212006,H5,hurricane,discrete,original alpha0.5 single observation,28.0,28.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\expanded_comparison\slots\74\attempts\expanded74_42a5eaa5d2ec4e088ba1161482a0f9b4,output\paper_v1\expanded_comparison\slots\76\attempts\expanded76_b5080725e48e4dd8bd107e4a0bb2ca1a
AL182011__AL061926,H6,hurricane,continuous,coverage_extension single observation,8.0,8.0,0.0,0.9792503282171899,0.9792503282171899,False,validated,validated,output\paper_v1\coverage_extension\slots\37\attempts\coverage37_e8c06401f75e4c8696c1b66264d53a0e,output\paper_v1\coverage_extension\slots\39\attempts\coverage39_d0000f0707ba4c0fa5783226237f953b
AL182011__AL061926,H6,hurricane,discrete,coverage_extension single observation,29.0,29.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\38\attempts\coverage38_868a5ccfc0364d0da4167d131a116041,output\paper_v1\coverage_extension\slots\40\attempts\coverage40_fdf11ff49a2d482f9e9f066277b907a8
EP141997__EP092000,H7,hurricane,continuous,coverage_extension single observation,4.0,5.0,1.0,1.7035429038283292,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\41\attempts\coverage41_c930292e7a4e4d4cb6db2b11e3b15108,output\paper_v1\coverage_extension\slots\43\attempts\coverage43_8541b5d5d53f44b4949584f38e7422e3
EP141997__EP092000,H7,hurricane,discrete,coverage_extension single observation,32.0,32.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\42\attempts\coverage42_8d733121dc674d369fd707ab80d2e2d2,output\paper_v1\coverage_extension\slots\44\attempts\coverage44_0c3d4777937a42ce9ef5c3dd1a5a157b
EP211990__EP152008,H8,hurricane,continuous,coverage_extension single observation,8.0,8.0,0.0,2.3393185728467305,0.9841603622809811,True,validated,validated,output\paper_v1\coverage_extension\slots\45\attempts\coverage45_612251e69fa84657ad3c751919119474,output\paper_v1\coverage_extension\slots\47\attempts\coverage47_30c8adcf99e14ab09a9650bae3cbb95b
EP211990__EP152008,H8,hurricane,discrete,coverage_extension single observation,35.0,35.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\46\attempts\coverage46_60cd8286ba1a48e696eff4c9ede95c08,output\paper_v1\coverage_extension\slots\48\attempts\coverage48_362b69f475c64b18bc40230adac5213f
EP041981__EP211992,H9,hurricane,continuous,coverage_extension single observation,8.0,8.0,0.0,1.7808497936425505,0.9835217654018339,True,validated,validated,output\paper_v1\coverage_extension\slots\49\attempts\coverage49_755aebfa9e9a4261add3f85b1bfc1ba0,output\paper_v1\coverage_extension\slots\51\attempts\coverage51_2c8472d7d1364a8f98e47021d71f6cae
EP041981__EP211992,H9,hurricane,discrete,coverage_extension single observation,40.0,40.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\50\attempts\coverage50_bcd6691cbb2646cbb129b441ac02fd50,output\paper_v1\coverage_extension\slots\52\attempts\coverage52_7629beed627b42709681a8a5ffb84a23
AL181887__AL091888,H10,hurricane,continuous,coverage_extension single observation,8.0,8.0,0.0,1.0073447583669977,0.9966065453402451,True,validated,validated,output\paper_v1\coverage_extension\slots\53\attempts\coverage53_9ef2670886bc41428191e14a2da3ecaf,output\paper_v1\coverage_extension\slots\55\attempts\coverage55_36facae9ae4c474291ca5ad092b5f61a
AL181887__AL091888,H10,hurricane,discrete,coverage_extension single observation,62.0,62.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\coverage_extension\slots\54\attempts\coverage54_5223631fbf504f0abb780d0594d0998e,output\paper_v1\coverage_extension\slots\56\attempts\coverage56_bae8233866794268a95ea28a702e30c7
EP172000__EP061970,H11,hurricane,continuous,three-hurricane extension single observation,5.0,5.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_extension_3\slots\01\attempts\hurricane3_01_c0e4722942de4edcaa11266316805ef1,output\paper_v1\hurricane_extension_3\slots\03\attempts\hurricane3_03_b45df61f7c364569b48f895a3c451579
EP172000__EP061970,H11,hurricane,discrete,three-hurricane extension single observation,30.0,30.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_extension_3\slots\02\attempts\hurricane3_02_9fdee82a0e704fe7b40313cbe3c2fff4,output\paper_v1\hurricane_extension_3\slots\04\attempts\hurricane3_04_ef3ef5b482a148d1861bbc99a0efbb34
EP111995__EP032014,H12,hurricane,continuous,three-hurricane extension single observation,8.0,8.0,0.0,1.730787369569096,1.0,True,validated,validated,output\paper_v1\hurricane_extension_3\slots\05\attempts\hurricane3_05_544fb3f3607d4e0794fe4f019c330143,output\paper_v1\hurricane_extension_3\slots\07\attempts\hurricane3_07_4c21c4ed71a9480f8e995dd5d7042530
EP111995__EP032014,H12,hurricane,discrete,three-hurricane extension single observation,39.0,39.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_extension_3\slots\06\attempts\hurricane3_06_eacef0d1253647f1ae27c2ff2018ac10,output\paper_v1\hurricane_extension_3\slots\08\attempts\hurricane3_08_c39016413aec43668328a3c20b36ffc0
EP061986__EP131991,H13,hurricane,continuous,three-hurricane extension single observation,9.0,9.0,0.0,2.7521111366781894,1.0,True,validated,validated,output\paper_v1\hurricane_extension_3\slots\09\attempts\hurricane3_09_fbb5d270ca7a4c86bacbe7f25ec271a4,output\paper_v1\hurricane_extension_3\slots\11\attempts\hurricane3_11_1f56e28212ab4666a6da3cc53e3431a0
EP061986__EP131991,H13,hurricane,discrete,three-hurricane extension single observation,67.0,67.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_extension_3\slots\10\attempts\hurricane3_10_7abd746c092446dd8f0d6e0a34cda991,output\paper_v1\hurricane_extension_3\slots\12\attempts\hurricane3_12_b935ae03384b4dedb947a289c5f820a0
EP092002__EP171994,H14,hurricane,continuous,stratified final20 single observation,5.0,5.0,0.0,1.1222129883477239,1.0,True,validated,validated,output\paper_v1\hurricane_final_20\slots\01\attempts\final20_01_b434dd29179344f58040590f59962d54,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c
EP092002__EP171994,H14,hurricane,discrete,stratified final20 single observation,27.0,27.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\02\attempts\final20_02_021eda7600df412cb66577c8602cf8e4,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991
AL091944__AL031917,H15,hurricane,continuous,stratified final20 single observation,6.0,7.0,1.0,1.5114455455054336,0.9577594774604016,False,validated,validated,output\paper_v1\hurricane_final_20\slots\08\attempts\final20_08_db16c6b5195540c2af47c2511446e913,output\paper_v1\hurricane_final_20\slots\06\attempts\final20_06_866e9f142f5548c9b31eea1aac3dc726
AL091944__AL031917,H15,hurricane,discrete,stratified final20 single observation,35.0,35.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\05\attempts\final20_05_3a62e104edfc418990091b0fc0094304,output\paper_v1\hurricane_final_20\slots\07\attempts\final20_07_9ead45b3a9ed4ab19713c687e77e7dd3
EP101985__EP151985,H16,hurricane,continuous,stratified final20 single observation,6.0,6.0,0.0,2.2469523380851997,1.0,True,validated,validated,output\paper_v1\hurricane_final_20\slots\11\attempts\final20_11_acdcfa29a7d9446f94aa50661c0dddb9,output\paper_v1\hurricane_final_20\slots\09\attempts\final20_09_eb7bd5f7323448baa7ad1468993fe005
EP101985__EP151985,H16,hurricane,discrete,stratified final20 single observation,37.0,37.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\12\attempts\final20_12_6da99ca50a034841840ee306c7c8cafe,output\paper_v1\hurricane_final_20\slots\10\attempts\final20_10_a12a88c5c90046c5828fe762e12e783e
EP031965__EP141991,H17,hurricane,continuous,stratified final20 single observation,7.0,7.0,0.0,1.106777611493999,1.0,True,validated,validated,output\paper_v1\hurricane_final_20\slots\14\attempts\final20_14_bf5d6943445e43de83984aaabce39ebe,output\paper_v1\hurricane_final_20\slots\16\attempts\final20_16_d4e35d041ef04ad5989ece181a5d19a1
EP031965__EP141991,H17,hurricane,discrete,stratified final20 single observation,38.0,38.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\15\attempts\final20_15_8ff9c91d98364b5295c99dc1d34b268e,output\paper_v1\hurricane_final_20\slots\13\attempts\final20_13_7957d74aba4843288c5f5ac0777d6ae5
AL061921__AL101926,H18,hurricane,continuous,stratified final20 single observation,11.0,,,1.0086841521020338,,False,validated,transition_budget_limit,output\paper_v1\hurricane_final_20\slots\17\attempts\final20_17_1395c928d4754fc7942839c77b7f3225,output\paper_v1\hurricane_final_20\slots\19\attempts\final20_19_670b202c19c54aa28a7f79a13800898a
AL061921__AL101926,H18,hurricane,discrete,stratified final20 single observation,44.0,44.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\18\attempts\final20_18_7e6483aa34094a098d9dc41a27d91a71,output\paper_v1\hurricane_final_20\slots\20\attempts\final20_20_5c112c2ece744b91bba8231374693156
EP041976__EP041984,H19,hurricane,continuous,stratified final20 single observation,6.0,6.0,0.0,1.8964137401774148,0.9844367664265813,True,validated,validated,output\paper_v1\hurricane_final_20\slots\24\attempts\final20_24_d3470a252d2145ca9c41c4fcf7aa442b,output\paper_v1\hurricane_final_20\slots\22\attempts\final20_22_2aadd96ecd56487888d5543761e41814
EP041976__EP041984,H19,hurricane,discrete,stratified final20 single observation,46.0,46.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\21\attempts\final20_21_195f4b6c144744ffa35f95f208986226,output\paper_v1\hurricane_final_20\slots\23\attempts\final20_23_0892021af506422ebb7300b58a6e42e8
EP081967__EP101980,H20,hurricane,continuous,stratified final20 single observation,4.0,4.0,0.0,2.552017573771855,0.9722008102021098,True,validated,validated,output\paper_v1\hurricane_final_20\slots\27\attempts\final20_27_de706e57356c4f08ba62f91aba4abaa5,output\paper_v1\hurricane_final_20\slots\25\attempts\final20_25_66c8bad9489b41fab6327cf23c780263
EP081967__EP101980,H20,hurricane,discrete,stratified final20 single observation,26.0,26.0,0.0,0.9722008102021098,0.9722008102021098,False,validated,validated,output\paper_v1\hurricane_final_20\slots\28\attempts\final20_28_8c2506e898e04b858825e283a3e44fdf,output\paper_v1\hurricane_final_20\slots\26\attempts\final20_26_30241021b400499a9710be07c88dddac
EP031994__EP031978,H21,hurricane,continuous,stratified final20 single observation,6.0,6.0,0.0,1.645087491738802,0.9845741389072417,True,validated,validated,output\paper_v1\hurricane_final_20\slots\30\attempts\final20_30_475599a6b1d54bdd80bc1cff799f4c26,output\paper_v1\hurricane_final_20\slots\32\attempts\final20_32_d7629be544a04b7c9a22f439d333fc89
EP031994__EP031978,H21,hurricane,discrete,stratified final20 single observation,33.0,33.0,0.0,0.9821951221778639,0.9821951221778639,False,validated,validated,output\paper_v1\hurricane_final_20\slots\31\attempts\final20_31_dc00c064cb1d4e339c7e15dbb6f227bb,output\paper_v1\hurricane_final_20\slots\29\attempts\final20_29_aa3ca4b72b8c4222901d54440e883ea9
EP021985__EP181984,H22,hurricane,continuous,stratified final20 single observation,4.0,4.0,0.0,1.384750534169818,1.0,True,validated,validated,output\paper_v1\hurricane_final_20\slots\33\attempts\final20_33_2caf8d64c11043df8a23af6f3c211a35,output\paper_v1\hurricane_final_20\slots\35\attempts\final20_35_ebb9bf586aa24487a1f9d9f887ce4018
EP021985__EP181984,H22,hurricane,discrete,stratified final20 single observation,41.0,41.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\34\attempts\final20_34_ea9ee483f1294ae3a828afeb3625747f,output\paper_v1\hurricane_final_20\slots\36\attempts\final20_36_4e04d78dd5974e99b6e05aa37ad0a368
AL101886__AL051950,H23,hurricane,continuous,stratified final20 single observation,11.0,11.0,0.0,0.9713183556693334,0.9713183556693334,False,validated,validated,output\paper_v1\hurricane_final_20\slots\40\attempts\final20_40_4c2bf1aaa30540999f85ae007f04ef46,output\paper_v1\hurricane_final_20\slots\38\attempts\final20_38_58df75aaae554088a8460ccc5c84df2f
AL101886__AL051950,H23,hurricane,discrete,stratified final20 single observation,28.0,28.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\37\attempts\final20_37_51b2e98e30d54d699e42eed27543c97a,output\paper_v1\hurricane_final_20\slots\39\attempts\final20_39_f320fc4065b8426997773f0f0db07068
AL091947__AL011953,H24,hurricane,continuous,stratified final20 single observation,14.0,14.0,0.0,0.9946327448663297,0.9946327448663297,False,validated,validated,output\paper_v1\hurricane_final_20\slots\43\attempts\final20_43_2836407e874c424f8e39aa2dc464034d,output\paper_v1\hurricane_final_20\slots\41\attempts\final20_41_0a466baa66464fb3943e4e57645c28be
AL091947__AL011953,H24,hurricane,discrete,stratified final20 single observation,45.0,45.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\44\attempts\final20_44_4bd691e859f24298bcd50204bf7e8ce2,output\paper_v1\hurricane_final_20\slots\42\attempts\final20_42_d2895748c5d14bdeb6a05676e77abfb5
EP072011__EP092011,H25,hurricane,continuous,stratified final20 single observation,7.0,7.0,0.0,1.6252938486577948,0.9970682481330578,True,validated,validated,output\paper_v1\hurricane_final_20\slots\46\attempts\final20_46_37192d3934c744d582184f79b62e61d8,output\paper_v1\hurricane_final_20\slots\48\attempts\final20_48_2edd7361056443178e128d82458295ee
EP072011__EP092011,H25,hurricane,discrete,stratified final20 single observation,45.0,45.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\47\attempts\final20_47_d4a9dc9ae7b84cda9454df9608014fe7,output\paper_v1\hurricane_final_20\slots\45\attempts\final20_45_0821628804ba483ba30cbc671c8e4102
AL171980__AL112009,H26,hurricane,continuous,stratified final20 single observation,6.0,7.0,1.0,1.0393849912407445,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\49\attempts\final20_49_08a4e1c1718046018d829bbf67b74f8d,output\paper_v1\hurricane_final_20\slots\51\attempts\final20_51_14a139201f594820b2f7e7b3059dcaad
AL171980__AL112009,H26,hurricane,discrete,stratified final20 single observation,28.0,28.0,0.0,0.9750713917961212,0.9750713917961212,False,validated,validated,output\paper_v1\hurricane_final_20\slots\50\attempts\final20_50_a4383118ca454e09b67c5cf1cc90a664,output\paper_v1\hurricane_final_20\slots\52\attempts\final20_52_b4f045f5d8844464bd2f0bcf54eea3e8
AL102008__AL061989,H27,hurricane,continuous,stratified final20 single observation,5.0,5.0,0.0,0.9405712364487507,0.9405712364487507,False,validated,validated,output\paper_v1\hurricane_final_20\slots\56\attempts\final20_56_30668bb6fe404f53a66ffcf1cd0974e1,output\paper_v1\hurricane_final_20\slots\54\attempts\final20_54_5781486474d142eca33fd1ac3ecba66e
AL102008__AL061989,H27,hurricane,discrete,stratified final20 single observation,32.0,32.0,0.0,0.9232972814467327,0.9232972814467327,False,validated,validated,output\paper_v1\hurricane_final_20\slots\53\attempts\final20_53_8b318395eeb046589e99724d910e5bb1,output\paper_v1\hurricane_final_20\slots\55\attempts\final20_55_f8e5c012d43b42c6bfe76bb8c06d1308
EP102002__EP042014,H28,hurricane,continuous,stratified final20 single observation,5.0,5.0,0.0,1.199005190362061,0.9860892807483871,True,validated,validated,output\paper_v1\hurricane_final_20\slots\59\attempts\final20_59_c16322178b4f407d8f119718c8734830,output\paper_v1\hurricane_final_20\slots\57\attempts\final20_57_3b593e011f1945c8b0d3ed5a26fd0127
EP102002__EP042014,H28,hurricane,discrete,stratified final20 single observation,32.0,32.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\60\attempts\final20_60_cec96105783145718039ee5868a75078,output\paper_v1\hurricane_final_20\slots\58\attempts\final20_58_ea2ce80db7c94079a2cb369e959559f5
