path,sha256
output\cps_papers\0.analyze_CPS_before_w8.ipynb,2081488d0e526c4fe595bbb7fb020c888b80659bb26a1af2ad6b9dadf34ea3c9
output\cps_papers\algorithm_checks.json,d0dafe94379f23b1d67801380c0e692923b613d473117db56036cdfed9651c0e
output\cps_papers\audit.csv,a093ede40f8ace18883fa62c2fadc9122141075d5ce16227943b336bd68e247b
output\cps_papers\auxiliary_counts.csv,143ff72aada35e871c4a47ac679d7e932660294aa258788909c05d28a46e4853
output\cps_papers\boxplot_cohort.csv,d7239a94c6bb4c58c82946f9e3f9e519699d5c075b6cd19a83ac61c884be414a
output\cps_papers\boxplot_values_w16.csv,e8c7b4be50522204d312acfdc77bc5a4f8220d8333bdbe6a9fb8e49cbce80521
output\cps_papers\comparison.csv,97d91ec320a11a68c95f7f7b2c7b2f9d0331089c2c1c3f93715a6deeadd20503
output\cps_papers\comparison.html,d6f7feb0b69a0d7f89ea644b15708ea2ff55614576c74d87a82ccd3e6d02ec93
output\cps_papers\cps2f_vs_cps3f.csv,7ab9080993edfe62d920f0e52dc4dbfbe39b0ba5d78cbd16528c7c4f4cfe9b4b
output\cps_papers\dual_bar_parameters.csv,432dada4fdf22ec4929da7520b57d6ad91b0749b65df7c4de0616bc5abb19213
output\cps_papers\inputs.csv,326093d674609ee29afe5ddef3a9865ccee18234919addfe76fbb8f62a6ddab5
output\cps_papers\manifest.json,a6dfbe64303ab223ee472e5807b3e63ceb47bdf4a389e709f42b113d7c0b53f0
output\cps_papers\pair_parameters.csv,0363867e2656d256997c15ac6d629183d6b8c95da6b90de21a793f0e96376fc0
output\cps_papers\pair_parameters.html,689ece77ad39978025599f2111aaa5daf9ba3e400cea5ebf74b902023d7465c5
output\cps_papers\paper.csv,fa061a0a303dddaeaa6206f302a0cf5b3e42484081b5516370f989532e702cea
output\cps_papers\paths.json,8133583fe003705d4f9150f915bfa4ad5beb42a108df3b80c64e737c5adb430c
output\cps_papers\qualification.csv,1c5dff1ac2fc2e4724af290cb3197cc7d275624ae9e6ece5bf1cd56e93f258bf
output\cps_papers\residues.csv,850b7c976dd4bfe2fe7b1cd26b2f2b9b1b36a13154b398288cd511aff8ccb070
output\cps_papers\sampling_geometry.csv,4bf2aea814a03af27c2c331ae645bf2aa8d4b3914cf023b2573d0df974a4a72c
output\cps_papers\solver_run_manifest.json,74b376ad4fd0a62a6b3ce4118f45ae7c488641839a15d2a13a64171add85242c
output\cps_papers_w8\0.analyze_CPS_before_graph_sizes.ipynb,84336911b72f4bc145f45d044696121d2afa0f2efcc24d76dfbb96d664433982
output\cps_papers_w8\audit.csv,a093ede40f8ace18883fa62c2fadc9122141075d5ce16227943b336bd68e247b
output\cps_papers_w8\auxiliary_counts.csv,366ef63342e8966d3967aec7b1b0a36dd28ad7d80b4c0a6ce291532a0e68418b
output\cps_papers_w8\auxiliary_utilization.csv,61f237a728578eee895769195f6a2f642293ee369e831eb9e923bf9ee83881ce
output\cps_papers_w8\boxplot_cohort.csv,d1a3d92f07df97b50c183aafcecb220ed70a29f3f69d52c267157f8b442ce6a7
output\cps_papers_w8\boxplot_values_w8.csv,e880a6ce589a0c4040f3b1abf80672b256e81aabf3213797d191b183f3611a4d
output\cps_papers_w8\comparison.csv,bfdce3790314f86646b8d4db6b3c63122c5a68c56dfa40ba143feaa081084e6e
output\cps_papers_w8\comparison.html,2dd6c34969f18e016acd9fb868dbf07aede13c2a8e9df0dcda905392f4493b1e
output\cps_papers_w8\cps2f_vs_cps3f.csv,2d69b11a5afd64d42031fb0f8ec99e14076965382a4010a15ff4d681c96ee4a3
output\cps_papers_w8\dual_bar_parameters.csv,78fe047b486b68161fe44fa3f35112b401c65a85f94ff501871fe7fdf2e239f5
output\cps_papers_w8\graph_sizes.csv,4bcbfdf9fd25819eff407809aee434f7b36f2099fb7a386d2226a2f9e01b16ba
output\cps_papers_w8\graph_sizes.html,7c807f4af8b4617a8c7f17f4334bf299fcd10365626b5e9f3adb0daa7f506b87
output\cps_papers_w8\graph_size_manifest.json,dd659aaadcb8ba1d428c7698a1bf99b9b10348f7334dc3d4c5df0b38bfd70dff
output\cps_papers_w8\inputs.csv,04a6680c497bb44fcc7ce0aea4214c2830419ab6c26cbd2ce1de7d871dbfa626
output\cps_papers_w8\manifest.json,24b0a945c94b66655fbfd023164c81317910feac7f7923649c42a45e2cca133f
output\cps_papers_w8\pair_parameters.csv,695b5c825102343c4458a0cc9b39c86a41087c19489c2a0bad30b83202e310e0
output\cps_papers_w8\pair_parameters.html,f20d8406dc351d6704bd57eab79512988bcc589cb81dc29e0cb1a11940a6b0d1
output\cps_papers_w8\paper.csv,fa061a0a303dddaeaa6206f302a0cf5b3e42484081b5516370f989532e702cea
output\cps_papers_w8\paths.json,77d3634fc87daef998933e8f021a47c357531b58590a235de9636ef7e1712b6c
output\cps_papers_w8\qualification.csv,1c5dff1ac2fc2e4724af290cb3197cc7d275624ae9e6ece5bf1cd56e93f258bf
output\cps_papers_w8\residues.csv,45b2f0d5fc0f7f32a3d3761c9b05a303a4afa059b42000336edc59edb70b268c
output\cps_papers_w8\sampling_geometry.csv,e41baf44407a2dce14be60562bf96a52fa66a67ba7e527c7e7ce3cf6cdcd5453
output\decimation\aggregates_headline.csv,3bb107136c142e624e2d61410268a8a040e871b222b338313cdb0f0f05e650bb
output\decimation\aggregates_runtime_with_control.csv,ef8f66d1476f5e60a7bcfef2225f68495d0ff7db3cdd6f2338377c9c32f42672
output\decimation\chain_breaks.csv,6967407f87a539e271cf22257517cff1cca5c3885a20f01ab248d91fc2e29f41
output\decimation\checks.json,9722d66958b5fe905645a5e4bb4ca56843adaba09a7c3e0c12298f5b0fb191f5
output\decimation\coupling_summary_with_control.csv,d7d2be39e8e784a19208d3d62b764f3e8101cebae9beb96d45e67a98a708edd5
output\decimation\delivery_checks.json,912b475255faabcd8a749dd3e1e10aa57a51de3b271d0828f12a023b3df463a2
output\decimation\identifier_audit.csv,a093ede40f8ace18883fa62c2fadc9122141075d5ce16227943b336bd68e247b
output\decimation\input_qualification.csv,1c5dff1ac2fc2e4724af290cb3197cc7d275624ae9e6ece5bf1cd56e93f258bf
output\decimation\missing_residues.csv,a4927b52789d0c597dbbdd8d13cfc8877cf8941fad61069d1f3a38e34d43156d
output\decimation\paths.json,fbe16e0a73a4f9895ad26159671bb4871e592b965455a0f9721629f08d2b75ea
output\decimation\pipeline.csv,cf57a8368177709a3b82e77e3d78c557a4f46145496d84bc42541b063c1dec5e
output\decimation\pipeline_table.html,39c2ae6a99b2533b88fab7fdfe4a31b9faed9120d4fd58399cd6b9e196c2e4e2
output\decimation\qualification_excluded_residues.csv,527c70aa727ad75b54d744f1d743fcf664d31479efdf66f36750d0e06eeb195e
output\decimation\sampling_summary_with_control.csv,2856c5ead5362fbbf175e695c8a9f1f37e451540557f82441019e558daf7ccd4
output\decimation\stage_residue_mapping.csv,365e973ebb38f3bde411f926ca74e6d9bc87f27d84cf33566f4a273fa8f75049
output\figures\independent_metrics.png,81fc27f3d0e2f4e3e24eff555c9a5f03367005be0f4e9dc2cef26ef8038b320f
output\figures\independent_overlays.png,78d8e2a9ac55b579254339b678f98038d298944d6ded1118ecc018d5833acd5f
output\figures\prepared_fragments_1.png,4d2b0c85db60e61da473709d8355ac62cb739f66c271ee7ca32647694f80bd19
output\figures\prepared_fragments_2.png,cc139d549bf4cb2741f93d927715594767d0588ba1b87cfa831cda0d584d9c6b
output\figures\prepared_fragments_3.png,cae3aa0a9978dd7be55df5167ee862439bd9a0da22921c0d8e4ceabbc0f803b8
output\hurricane_auxiliary\auxiliary_construction_summary.csv,b1639425c13c5acf7f997181135534d0b985d2a7b651927e23b097ded6527abf
output\hurricane_auxiliary\auxiliary_intersection_events.csv,46d859270c2f0c9533fba35691f6458e9bc02742a78fcf9596fb75a6e4faa85c
output\hurricane_auxiliary\auxiliary_manifest.json,f5cc4910806222c6cb03b3e8669f22d2e35699ee3c0c886987a3c80e9aea484b
output\hurricane_auxiliary\auxiliary_utilization.csv,e5e7b17ea28c71dcd592683640356f889d8cde0bbc1c0ce0ffff7eca8732423a
output\hurricane_auxiliary\auxiliary_validation.json,3b35d3760716c6c729cb0ad15291c16bd4f32e9897a7d4bb5e6570222a28468b
output\hurricane_auxiliary\boxplot_cohort.csv,9428879d64b87537cc5f44febaad20eda57aa8271f0cb03b071c06fb9ca9fc79
output\hurricane_auxiliary\comparison.csv,5ae6ba1aba4cdc1c36869d14dd41926cb065c29aef222664979182cb9605eb34
output\hurricane_auxiliary\distance_audit.csv,36ebff000fe6c8a466db9e8b123cd7c0e2266bcfe9696d2a90319cc370e04fc8
output\hurricane_auxiliary\extended_curve_points.csv,bf165fc5287062693cb901bd5b100ffc3a4dfddabce456d603354324edb11393
output\hurricane_auxiliary\graph_sizes.csv,c95c9c918cef4f6a1bb39828bc47e5b190ce71ab99370013ef10315dd6493a28
output\hurricane_auxiliary\graph_sizes.html,7ac922d2c4c3c6734993deede72e4d9667cec2cc1095fcdc541a55511fb64d3c
output\hurricane_auxiliary\manifest.json,65af313b5c4026ed5e8612f7fc418fd15392157714966dc9221e2832505be910
output\hurricane_auxiliary\matched_vertex_comparison.csv,393bb7d60ab004fcbc67702c8f099dd65e1f774b42da35ac49197486ddf47f4b
output\hurricane_auxiliary\parameters.csv,8ab2e569e20a781fa41784aba07af41493afeb89abf3a32290cf45337d54d71d
output\hurricane_auxiliary\paths.json,89ad369d6fecb3a8014188d67a2ab1520d52e4c05629c20e527bacc42c134837
output\hurricane_auxiliary\selected_pairs.csv,7f088eefae37ec42103ffbee5b6d6d177ba78812511054eb8bb045d187f6dbf9
output\hurricane_auxiliary\validation.json,633d0ca4a0161040c1f3cbf46ae75177c13ec7e2805f585ef3500ed52e10dbe3
output\hurricane_auxiliary\worked_intersection.csv,80bec1941187620fdaf160acfcfc284d6b8aac926cd928ecd02a8bf5a6b58415
output\hurricane_auxiliary_expanded\auxiliary_construction_summary.csv,3a429d8fed0cbb1c5c800a503cfe9d06591de5b7a2c1b4367279d854e20db5c8
output\hurricane_auxiliary_expanded\auxiliary_intersection_events.csv,82bfe200703a2247b13cb3a869e9c7dac6000a63f19e67ab8b1c75d11d8f5403
output\hurricane_auxiliary_expanded\auxiliary_manifest.json,cc2423fe9e6603b53bb8322c35f1de2aaf222f167922b307a87dbcd5d85439d3
output\hurricane_auxiliary_expanded\auxiliary_utilization.csv,4b8eb929633307f7caa36a8ed20b3cca4c9afc0a1c0b87d16082da5434d16e88
output\hurricane_auxiliary_expanded\auxiliary_validation.json,593f4d377583b3972392fc8be6c16c4ade599eb6df3e75a257e0aa10aae5f54b
output\hurricane_auxiliary_expanded\boxplot_cohort.csv,2fd3b6ea2e1b89d2435b63cdbd4e4679c4cd7c360cdc65a4219ddffd1b4eafdd
output\hurricane_auxiliary_expanded\comparison.csv,168ee73a90f341971fce4c7c02d8970bf81a923afa659a37cd1ec42cdab4b66d
output\hurricane_auxiliary_expanded\distance_audit.csv,d53df75c3d71f013fef40c2725dc38f9821879e3382600e515f327f95385b988
output\hurricane_auxiliary_expanded\extended_curve_points.csv,43a22c93ecc7a31141ae6d3290d2233d1577918406c2f33bb1330fa85bb65083
output\hurricane_auxiliary_expanded\graph_sizes.csv,4ecc5716e093120919f82a2420080d680b7740c69336be007d96b87e1995e0b1
output\hurricane_auxiliary_expanded\graph_sizes.html,289789c4218652b2660fd59e3fb9239117f5c0f45bacd1103b76c36160e15997
output\hurricane_auxiliary_expanded\manifest.json,af14d29dce5184cfdc8af9a29f1141a844b6e17bcc20ef3dc03d8f00608aaffb
output\hurricane_auxiliary_expanded\matched_vertex_comparison.csv,c551d67abd0f110706758b4291943f500aa11a252e4a8653a62ca81eb1e93f55
output\hurricane_auxiliary_expanded\parameters.csv,c91a6c179ca7788ac74afcf5fd0e32bf90528cec783da5b9c5726426f4633e22
output\hurricane_auxiliary_expanded\paths.json,7d4e66dfe1c656e39dc76c708d6e48adafac6ca7e9a8b46037416f0106adf845
output\hurricane_auxiliary_expanded\retried_cases.csv,67b5eb138cddd1c69e100911cd66b6674f50ab0d9ccc82e8d7639ab34346eb9d
output\hurricane_auxiliary_expanded\selected_pairs.csv,e069cf98739ad828cbd27be8b279572bdb257a8c1c1e682d5c5c767f6aea08b8
output\hurricane_auxiliary_expanded\worked_intersection.csv,80bec1941187620fdaf160acfcfc284d6b8aac926cd928ecd02a8bf5a6b58415
output\hurricane_before_expansion\0.analyze_hurricans.ipynb,941bdaa44a7b7cc8bd023ce424ae33d35106050ddb0b2c843c82d1bdb5ccaee5
output\hurricane_before_expansion\1.analyze_CPS.ipynb,32771ed3700b946c56d8e434c9df65f08a83ca407ca65e8691e2990d39383851
output\hurricane_cps\auxiliary_utilization.csv,e5e7b17ea28c71dcd592683640356f889d8cde0bbc1c0ce0ffff7eca8732423a
output\hurricane_cps\boxplot_cohort.csv,9428879d64b87537cc5f44febaad20eda57aa8271f0cb03b071c06fb9ca9fc79
output\hurricane_cps\comparison.csv,5ae6ba1aba4cdc1c36869d14dd41926cb065c29aef222664979182cb9605eb34
output\hurricane_cps\distance_audit.csv,36ebff000fe6c8a466db9e8b123cd7c0e2266bcfe9696d2a90319cc370e04fc8
output\hurricane_cps\graph_sizes.csv,c95c9c918cef4f6a1bb39828bc47e5b190ce71ab99370013ef10315dd6493a28
output\hurricane_cps\graph_sizes.html,7ac922d2c4c3c6734993deede72e4d9667cec2cc1095fcdc541a55511fb64d3c
output\hurricane_cps\manifest.json,65af313b5c4026ed5e8612f7fc418fd15392157714966dc9221e2832505be910
output\hurricane_cps\matched_vertex_comparison.csv,393bb7d60ab004fcbc67702c8f099dd65e1f774b42da35ac49197486ddf47f4b
output\hurricane_cps\parameters.csv,8ab2e569e20a781fa41784aba07af41493afeb89abf3a32290cf45337d54d71d
output\hurricane_cps\paths.json,89ad369d6fecb3a8014188d67a2ab1520d52e4c05629c20e527bacc42c134837
output\hurricane_cps\selected_pairs.csv,7f088eefae37ec42103ffbee5b6d6d177ba78812511054eb8bb045d187f6dbf9
output\hurricane_cps\validation.json,633d0ca4a0161040c1f3cbf46ae75177c13ec7e2805f585ef3500ed52e10dbe3
output\hurricane_cps_expanded\auxiliary_utilization.csv,4b8eb929633307f7caa36a8ed20b3cca4c9afc0a1c0b87d16082da5434d16e88
output\hurricane_cps_expanded\boxplot_cohort.csv,2fd3b6ea2e1b89d2435b63cdbd4e4679c4cd7c360cdc65a4219ddffd1b4eafdd
output\hurricane_cps_expanded\comparison.csv,168ee73a90f341971fce4c7c02d8970bf81a923afa659a37cd1ec42cdab4b66d
output\hurricane_cps_expanded\distance_audit.csv,d53df75c3d71f013fef40c2725dc38f9821879e3382600e515f327f95385b988
output\hurricane_cps_expanded\expansion_validation.json,e6e541ee5e412abb505ff1a1568926ab2c7ccbda66f3b5b9138e555ef8d87bcb
output\hurricane_cps_expanded\graph_sizes.csv,4ecc5716e093120919f82a2420080d680b7740c69336be007d96b87e1995e0b1
output\hurricane_cps_expanded\graph_sizes.html,289789c4218652b2660fd59e3fb9239117f5c0f45bacd1103b76c36160e15997
output\hurricane_cps_expanded\manifest.json,af14d29dce5184cfdc8af9a29f1141a844b6e17bcc20ef3dc03d8f00608aaffb
output\hurricane_cps_expanded\matched_vertex_comparison.csv,c551d67abd0f110706758b4291943f500aa11a252e4a8653a62ca81eb1e93f55
output\hurricane_cps_expanded\parameters.csv,c91a6c179ca7788ac74afcf5fd0e32bf90528cec783da5b9c5726426f4633e22
output\hurricane_cps_expanded\paths.json,7d4e66dfe1c656e39dc76c708d6e48adafac6ca7e9a8b46037416f0106adf845
output\hurricane_cps_expanded\retried_cases.csv,67b5eb138cddd1c69e100911cd66b6674f50ab0d9ccc82e8d7639ab34346eb9d
output\hurricane_cps_expanded\selected_pairs.csv,e069cf98739ad828cbd27be8b279572bdb257a8c1c1e682d5c5c767f6aea08b8
output\hurricane_cps_expanded\validation.json,40ad572540f20bf5a1ffa68cbf151c551338bc1e0845230dc5a1a63d3d895d85
output\independent\chain_totals.csv,8ebbf288a9ca6cda987ad0d817cba29d688ba5c8e1644f4638cb13930a35dd58
output\independent\manifest.json,1beadc6b774cd62c08f6c5a53628a7b1edbc238fc172ac261465e3e3a4b4099d
output\independent\paths.json,3a5e1d567291405e6ab602117708172aa167d0640b513c542b1d49eab9dbe9ab
output\independent\results.csv,63dce45bd8a3cfeb1e39eff8ddb32966b4763a7a990991c6dd45b39ad4578424
output\independent\retained_residue_mapping.csv,f6dc8d1cf7f1c036683d5a3b13229c3e3ad75414ce930074f72b22b5904726fe
output\paper_checks\cps_18.png,bb9b754e2f2090609447a47a31747e27080b92689881badf5b9862a154434b00
output\paper_checks\cps_19.png,25a2a00e08c065ee06847e8813344bf9b48a0ba42bbe6b662073ee93fa0ff32b
output\paper_checks\gcs_13.png,d22d5f5728a3b6b1eb4cbc83fb6c953277be3833950b809d115703fbf5eed18c
output\paper_v1\environment.json,78a971b5ef688a5d6d69e046bd9424dc49620bc0ddac30a1d591f8e47b7d51af
output\paper_v1\existing_inventory.csv,2d2dff613c125ec4721e2f4d4014ab892922dce38953b05314f0010f321a39ac
output\paper_v1\final_audit.json,f0db9c4535b2c022ea388c94e22e59d6f0a2b29c7e43799a949fb14d3e50e008
output\paper_v1\hurricane_paths.json,4d74ac3275941087f3d6c561a332068bd3e9af39a1894510bff8f98f6e2664fe
output\paper_v1\hurricane_results.csv,934ced6fd510bda58f2220c2f179a81b07c39aea2b5fd792b779a982c92df40a
output\paper_v1\input_manifest.csv,d7e536d56f40ca792a5e0c8462a2592684bea9e43bcdbd51bc15268520d3f1ca
output\paper_v1\pilot_parameters.csv,3fcba922fe7a59575833c4b63fb35b59a701259b5e7044fd399c6564f4667372
output\paper_v1\pilot_results.csv,9d8ebd087e161e4cd88de3069622a667f220e13ca56bb26e7c2224df808271c7
output\paper_v1\pilot_summary.csv,8788b8c01924719105676e2cb4a2f690945b7b85fd6f691489a8342ca9f2a78c
output\paper_v1\preservation_audit.json,24ea01c8bfc3015351f43a347e95ea3eca23dca35cae1da1a7093da4ab1540e6
output\paper_v1\prior_experiments.csv,d35bde0cd881b42b990f18601a2761dbdb61a5c3b336e2693c7227b4a5cf7933
output\paper_v1\protected_results_snapshot.csv,a04fa39bc6616452078a3a3c5516944d0b6f9337102665b1a1f8fe010866ec49
output\paper_v1\protein_paths.json,496fbdd5a2f9995b7f82e0da8bea92c0682f1becd702fed6b4113664fcdde5a1
output\paper_v1\protein_results.csv,9e6c913042910323496f7b12c2506ac3284f3087c619f308f7e0eb0120f7755e
output\paper_v1\protocol.json,e44dbea10f3bd2f3f50210b36a7edeff892f0f17402326523e164a8760e55037
output\paper_v1\selection_audit.csv,cb9660292cd9396643532cbeacc15c48724679eac905207d13ec64aa6c8cbb47
output\paper_v1\shared_entities.csv,db2ec45b28aa512d53f2d067b010ad893af847a0d8b81fea74483f67ccf9f38b
output\paper_v1\stage1_modules.csv,1f0f927c12cca85e254f72d7ef5cd548c68beffc04a228e9f4c3f6367bf8ecd4
output\paper_v1\status.md,4f63ed01b13fb22092ee69d532232fc1030737db4fd99eb4d0407d7314f5d56d
output\paper_v1\validation.csv,f8da98ab8e5304f30ee615a9e610016cf7b2b816bc43c8d9a92567502cbe649f
output\paper_v1\validation_gate.json,4a5a23b4fb7901182ef5807a307600f4092a141f537af3b90cd6447dae7b7db5
output\small_pairs\aggregates_feasible_only.csv,f6a1d86c7fd01fc4f53e2a283458b069dbcf32602e1788a84369dab194a8a18c
output\small_pairs\alignment_audit.csv,9b44fb2c4ef9bc2d25536841b873fb40eb075994f45cb6c7b86f618e88042654
output\small_pairs\checks.json,7546f41c06d34e9a2428b91217ec64c8546ab268b85eaf9a036b7b896a315c2b
output\small_pairs\paths.json,8a82fc087df406f6ddadd1d8aa4be618e9839ca3b609158d0648f7835c8219b1
output\small_pairs\pipeline.csv,ffb87f3986918eeb6e577ce4a13e1f4509c42fffd0a365cf5dee9c49bce773a5
output\small_pairs\prepared_pairs.json,4e338e5e9a9758deafd93647c8f8523cc160f717bcb66c0b4df39703f711b50a
output\small_pairs\selected_residues.csv,3d753a9c9eb2334bb7ec238d1f0f9f7482240029e88098a541487c24055c2500
output\small_pairs\figures\aligned_windows_1.png,39f674996e2f3bf84f975091882c6eceb1b3b7e8a584894901c696de193303fd
output\small_pairs\figures\aligned_windows_2.png,909d97028b428c75dc7eb3c40b6b6cb413d3324a53902b8166471afcc66ac531
output\small_pairs\figures\aligned_windows_3.png,bd71fa4f85cca0396562e9deac12b115fd031fd6f45fb1f8762c0d4e922bba60
output\small_pairs\figures\aligned_windows_4.png,16014f813b46cd6467e4fd3487a46df97abf0f5251abd7f1e25c373b81be1795
output\small_pairs\alignments\1o7j.a__1d9q.d\A.residues.csv,d97cbf28f86cdfbd31380d6918c97ef0974305fcda0cdfc8b69aa9a0baf68430
output\small_pairs\alignments\1o7j.a__1d9q.d\aligned.npz,4300375de241ff867cc3faf9279323dbd7765cb06f25d32a094e5d49838b944a
output\small_pairs\alignments\1o7j.a__1d9q.d\B.residues.csv,d58187ddb6ef5c1743d493a892a0a92f67a84b341a73c4686a8f9d0bd758e3cb
output\small_pairs\alignments\1o7j.a__1hfj.c\A.residues.csv,4ec5e51fbb951c3c070b97f4f44fb90c21742aa5d82b82b6bf57ca0fd844aeb4
output\small_pairs\alignments\1o7j.a__1hfj.c\aligned.npz,2792b39b47bdc75bfd7aec139ec8f72d8c2ae4b6adf58d4a08783deec8691610
output\small_pairs\alignments\1o7j.a__1hfj.c\B.residues.csv,b468343b3729a7bd3f1fc933711da37d4ea011d1c470cde9c90c88124fca4a0b
output\small_pairs\alignments\1o7j.a__1qd1.b\A.residues.csv,750956bc6fc81619e5818662f1b169739ce4913d83ff2daff4468b9b4973ef12
output\small_pairs\alignments\1o7j.a__1qd1.b\aligned.npz,e9547691da0caf838b0a58f1caeb53c3139942df0963eb7a4e4904663752fe44
output\small_pairs\alignments\1o7j.a__1qd1.b\B.residues.csv,dd19b7724175b62f0e8a1ddb5bce5020c93aa45c61735b3c797bf55ad6672ba7
output\small_pairs\alignments\1o7j.a__1toh.a\A.residues.csv,f5fb8bd5ffd4ae4febb6219065090ebbb3930a03c47ad84584f29f727de95095
output\small_pairs\alignments\1o7j.a__1toh.a\aligned.npz,020a4f6cc6db155565bc551c01231bc502f71f9fc7c2e4417481dfa1797e3d6b
output\small_pairs\alignments\1o7j.a__1toh.a\B.residues.csv,104d8c654d9b6fe92bed24422c10e06b67c01dc3b75dfd8a226796577e9f16a6
output\small_pairs\alignments\1o7j.a__1wls.a\A.residues.csv,73619434fc18343f8a9586bdb10b31b225f216eb96ad2224c473e33bc610977e
output\small_pairs\alignments\1o7j.a__1wls.a\aligned.npz,5f3cfe24d3d8aa8da170b8c974c6d8e70e383a5d8cedcc72853b8bb6bf98f427
output\small_pairs\alignments\1o7j.a__1wls.a\B.residues.csv,a58e2f95dd8ea72a1a9f78ba0107482989df76bfe47716aefb5a6ff31b6f338c
output\small_pairs\alignments\1o7j.a__1zq1.a\A.residues.csv,381e312623d94d42aad3a53eb21750fe05292e179839d3fb0313d89accac7045
output\small_pairs\alignments\1o7j.a__1zq1.a\aligned.npz,4d5c01aeef148406448c8d116ad5881f18cb1706b9d27852975fc08f680d5954
output\small_pairs\alignments\1o7j.a__1zq1.a\B.residues.csv,89741fd556c427b7414cc73a0cab8bb55f0a9eedeeed056950239ca3c6d39770
output\small_pairs\alignments\1o7j.a__2eq5.a\A.residues.csv,d1cd38c2f8c74add1618d27ab91f29170b0c219358e3e2108f4bf6fbf5ad8589
output\small_pairs\alignments\1o7j.a__2eq5.a\aligned.npz,9b367b69045d7e227bdcb2b00f9960456f0279e503178b9cc8f47e341ef96f5e
output\small_pairs\alignments\1o7j.a__2eq5.a\B.residues.csv,a774a4f7f73c9c9b9e88fa6063e65dcc89537fd8c9115974bacaf401ac108d46
output\small_pairs\alignments\1o7j.a__2fep.a\A.residues.csv,8d18affaa02988bdc8064e8111d2ade2f67fcabba5c485e17924ff0b911d00f5
output\small_pairs\alignments\1o7j.a__2fep.a\aligned.npz,69f52bd25e2a7e1432251c307e3a9cf0ac0d90189300f2e612006cf6e3851bca
output\small_pairs\alignments\1o7j.a__2fep.a\B.residues.csv,d1ae0426c916a00df659decfb6c70deb96eedb51a97044d1ff8f02874e9dc589
output\small_pairs\alignments\1o7j.a__2zsk.a\A.residues.csv,9c25b884723ac5765fb880300e73dfcd582055d6f6860721fbd060da080fbbf1
output\small_pairs\alignments\1o7j.a__2zsk.a\aligned.npz,0bb49eefc49d1986dd21a02904c3b53e1982cf9dfa41d9672213f7d3866c1e2a
output\small_pairs\alignments\1o7j.a__2zsk.a\B.residues.csv,97148f5acaf49a4524b79c3f572e357503579a6f600e7bc69d6a772619bb4d14
